name,type,value,date
Pinnacle Airlines Inc.,airport,258851,"2007	"
Pinnacle Airlines Inc.,airport,262208,"2008	"
American Airlines Inc.,airport,165121,"1987	"
American Airlines Inc.,airport,694757,"1988	"
American Airlines Inc.,airport,723252,"1989	"
American Airlines Inc.,airport,712060,"1990	"
American Airlines Inc.,airport,725191,"1991	"
American Airlines Inc.,airport,782371,"1992	"
American Airlines Inc.,airport,786696,"1993	"
American Airlines Inc.,airport,722277,"1994	"
American Airlines Inc.,airport,688471,"1995	"
American Airlines Inc.,airport,655539,"1996	"
American Airlines Inc.,airport,663954,"1997	"
American Airlines Inc.,airport,653919,"1998	"
American Airlines Inc.,airport,692653,"1999	"
American Airlines Inc.,airport,742265,"2000	"
American Airlines Inc.,airport,716985,"2001	"
American Airlines Inc.,airport,852439,"2002	"
American Airlines Inc.,airport,752241,"2003	"
American Airlines Inc.,airport,698548,"2004	"
American Airlines Inc.,airport,673569,"2005	"
American Airlines Inc.,airport,643597,"2006	"
American Airlines Inc.,airport,633857,"2007	"
American Airlines Inc.,airport,604885,"2008	"
Aloha Airlines Inc.,airport,7800,"2008	"
Aloha Airlines Inc.,airport,11036,"2000	"
Aloha Airlines Inc.,airport,53798,"2001	"
Aloha Airlines Inc.,airport,35387,"2006	"
Aloha Airlines Inc.,airport,46360,"2007	"
Alaska Airlines Inc.,airport,21406,"1987	"
Alaska Airlines Inc.,airport,89822,"1988	"
Alaska Airlines Inc.,airport,89122,"1989	"
Alaska Airlines Inc.,airport,97934,"1990	"
Alaska Airlines Inc.,airport,98952,"1991	"
Alaska Airlines Inc.,airport,102207,"1992	"
Alaska Airlines Inc.,airport,98431,"1993	"
Alaska Airlines Inc.,airport,117475,"1994	"
Alaska Airlines Inc.,airport,135124,"1995	"
Alaska Airlines Inc.,airport,144291,"1996	"
Alaska Airlines Inc.,airport,147750,"1997	"
Alaska Airlines Inc.,airport,152220,"1998	"
Alaska Airlines Inc.,airport,156098,"1999	"
Alaska Airlines Inc.,airport,154171,"2000	"
Alaska Airlines Inc.,airport,156447,"2001	"
Alaska Airlines Inc.,airport,159194,"2002	"
Alaska Airlines Inc.,airport,161594,"2003	"
Alaska Airlines Inc.,airport,166992,"2004	"
Alaska Airlines Inc.,airport,158100,"2005	"
