name,type,value,date
Delta Air Lines Inc.,airport,70598,"1994-11	"
Delta Air Lines Inc.,airport,73604,"1994-12	"
Delta Air Lines Inc.,airport,76730,"1995-01	"
Delta Air Lines Inc.,airport,69433,"1995-02	"
Delta Air Lines Inc.,airport,76863,"1995-03	"
Delta Air Lines Inc.,airport,74196,"1995-04	"
Delta Air Lines Inc.,airport,74200,"1995-05	"
Delta Air Lines Inc.,airport,72818,"1995-06	"
Delta Air Lines Inc.,airport,74403,"1995-07	"
Delta Air Lines Inc.,airport,75501,"1995-08	"
Delta Air Lines Inc.,airport,71461,"1995-09	"
Delta Air Lines Inc.,airport,74602,"1995-10	"
Delta Air Lines Inc.,airport,70481,"1995-11	"
Delta Air Lines Inc.,airport,73331,"1995-12	"
Delta Air Lines Inc.,airport,74807,"1996-01	"
Delta Air Lines Inc.,airport,70057,"1996-02	"
Delta Air Lines Inc.,airport,74879,"1996-03	"
Delta Air Lines Inc.,airport,71875,"1996-04	"
Delta Air Lines Inc.,airport,74337,"1996-05	"
Delta Air Lines Inc.,airport,73095,"1996-06	"
Delta Air Lines Inc.,airport,74428,"1996-07	"
Delta Air Lines Inc.,airport,75200,"1996-08	"
Delta Air Lines Inc.,airport,72488,"1996-09	"
Delta Air Lines Inc.,airport,76326,"1996-10	"
Delta Air Lines Inc.,airport,73284,"1996-11	"
Delta Air Lines Inc.,airport,77530,"1996-12	"
Delta Air Lines Inc.,airport,78106,"1997-01	"
Delta Air Lines Inc.,airport,70630,"1997-02	"
Delta Air Lines Inc.,airport,78173,"1997-03	"
Delta Air Lines Inc.,airport,75374,"1997-04	"
Delta Air Lines Inc.,airport,77815,"1997-05	"
Delta Air Lines Inc.,airport,76302,"1997-06	"
Delta Air Lines Inc.,airport,78806,"1997-07	"
Delta Air Lines Inc.,airport,78825,"1997-08	"
Delta Air Lines Inc.,airport,76007,"1997-09	"
Delta Air Lines Inc.,airport,78518,"1997-10	"
Delta Air Lines Inc.,airport,75166,"1997-11	"
Delta Air Lines Inc.,airport,78128,"1997-12	"
Delta Air Lines Inc.,airport,78523,"1998-01	"
Delta Air Lines Inc.,airport,71101,"1998-02	"
Delta Air Lines Inc.,airport,78906,"1998-03	"
Delta Air Lines Inc.,airport,75726,"1998-04	"
Delta Air Lines Inc.,airport,77937,"1998-05	"
Delta Air Lines Inc.,airport,75432,"1998-06	"
Delta Air Lines Inc.,airport,77521,"1998-07	"
Delta Air Lines Inc.,airport,78104,"1998-08	"
Delta Air Lines Inc.,airport,74840,"1998-09	"
Delta Air Lines Inc.,airport,76145,"1998-10	"
Delta Air Lines Inc.,airport,73552,"1998-11	"
Delta Air Lines Inc.,airport,77308,"1998-12	"
Delta Air Lines Inc.,airport,77745,"1999-01	"
Delta Air Lines Inc.,airport,70498,"1999-02	"
Delta Air Lines Inc.,airport,77812,"1999-03	"
Delta Air Lines Inc.,airport,75343,"1999-04	"
Delta Air Lines Inc.,airport,77226,"1999-05	"
Delta Air Lines Inc.,airport,75840,"1999-06	"
Delta Air Lines Inc.,airport,77264,"1999-07	"
Delta Air Lines Inc.,airport,78141,"1999-08	"
Delta Air Lines Inc.,airport,75067,"1999-09	"
Delta Air Lines Inc.,airport,77829,"1999-10	"
Delta Air Lines Inc.,airport,74411,"1999-11	"
Delta Air Lines Inc.,airport,76954,"1999-12	"
Delta Air Lines Inc.,airport,78055,"2000-01	"
Delta Air Lines Inc.,airport,71090,"2000-02	"
